id,isimler,cinsiyet
796,Aracı,E
797,Arafat,E
798,Aral,U
799,Aran,U
800,Aras,E
801,Arat,E
802,Araz,U
803,Arbaş,E
804,Arbay,E
805,Arbek,E
806,Arca,E
807,Arcan,E
808,Arda,U
809,Ardahan,E
810,Ardemir,E
811,Ardıç,E
812,Ardıl,E
813,Arefe,K
814,Arel,E
815,Arer,E
816,Argana,K
817,Argın,E
818,Argu,E
819,Arguç,E
820,Argüden,E
821,Argüder,E
822,Argün,E
823,Arhan,E
824,Arı,U
825,Arıbal,E
826,Arıbaş,E
827,Arıboğa,E
828,Arıca,E
829,Arıcan,U
830,Arıç,U
831,Arıel,U
832,Arıer,E
833,Arığ,E
834,Arıhan,E
835,Arık,E
836,Arıkal,E
837,Arıkan,E
838,Arıkboğa,E
839,Arıker,E
840,Arıkhan,E
841,Arıkiz,E
842,Arıkol,E
843,Arıkut,E
844,Arıl,E
845,Arıman,E
846,Arın,U
847,Arınç,U
848,Arınık,E
849,Arıpınar,U
850,Arısal,E
851,Arısan,E
852,Arısoy,E
853,Arısu,U
854,Arış,E
855,Arıtan,E
856,Arıtaş,E
857,Arıyüz,E
858,Ari,E
859,Arif,E
860,Arife,K
861,Arik,E
862,Arkadaş,E
863,Arkan,E
864,Arkay,K
865,Arkın,U
866,Arkış,E
867,Arkoç,E
868,Arkun,E
869,Arkut,E
870,Arlan,E
871,Armağan,U
872,Arman,U
873,Armanç,K
874,Arna,E
875,Arol,E
876,Arpad,E
877,Arpağ,E
878,Arpak,E
879,Arpınar,E
880,Arsal,U
881,Arsan,E
882,Arslan,E
883,Arslaner,E
884,Arsoy,E
885,Artaç,E
886,Artam,E
887,Artan,E
888,Artık,E
889,Artuç,E
890,Artuk,E
891,Artun,E
892,Artunç,E
893,Artut,E
894,Aru,U
895,Arukan,E
896,Arukız,K
897,Aryüz,E
898,Arzık,E
899,Arziye,K
900,Arzu,K
901,Arzugül,K
902,Arzuhan,K
903,Arzum,K
904,Asaf,E
905,Asal,E
906,Asalbegim,K
907,Asalbegüm,K
908,Asalet,U
909,Asan,E
910,Âsan,K
911,Asena,K
912,Asfer,K
913,Ası,E
914,Asıf,E
915,Asılbanu,K
916,Asılgül,K
917,Asım,E
918,Asıma,K
919,Asil,E
920,Asile,K
921,Asime,K
922,Asimegül,K
923,Asiye,K
924,Aslan,E
925,Aslaner,E
926,Aslanhan,E
927,Aslı,K
928,Aslıbey,E
929,Aslıgül,K
930,Aslıhan,U
931,Aslım,K
932,Aslınur,K
933,Asliye,K
934,Asma,K
935,Asri,E
936,Asu,U
937,Asude,K
938,Asuman,K
939,Asutay,E
940,Asya,K
941,Asye,K
942,Aşa,K
943,Aşan,E
944,Aşcır,E
945,Aşır,E
946,Aşina,K
947,Aşir,E
948,Aşkan,E
949,Aşkım,K
950,Aşkın,U
951,Aşkınay,E
952,Aşkıner,E
953,Ata,E
954,Atâ,E
